state,total_bans,num_districts
Alabama,0,0
Alaska,1,1
Arizona,0,0
Arkansas,1,1
California,0,0
Colorado,0,0
Connecticut,0,0
Delaware,0,0
Florida,566,21
Georgia,23,2
Hawaii,0,0
Idaho,26,3
Illinois,5,4
Indiana,18,3
Iowa,8,4
Kansas,30,2
Kentucky,0,0
Louisiana,0,0
Maine,1,1
Maryland,1,1
Massachusetts,0,0
Michigan,41,4
Minnesota,1,1
Mississippi,22,1
Missouri,27,8
Montana,0,0
Nebraska,0,0
Nevada,0,0
New Hampshire,0,0
New Jersey,3,3
New Mexico,0,0
New York,13,4
North Carolina,16,5
North Dakota,0,0
Ohio,4,1
Oklahoma,43,3
Oregon,1,1
Pennsylvania,458,11
Rhode Island,1,1
South Carolina,1,1
South Dakota,5,1
Tennessee,349,6
Texas,801,22
Utah,12,3
Vermont,1,1
Virginia,19,9
Washington,5,3
West Virginia,0,0
Wisconsin,29,6
Wyoming,0,0
